obf,edax_d20_score,edax_d20_depth_observed,edax_d20_best_move,parse_ok
----------O-O-----XOXX----XXO------OOOO----O-------------------- X;,22,20,f4,1
------------O----OXXXX----OXO------OOOO----O-------------------- X;,25,20,f4,1
------------O-----XOXX----OXO----O-OOOO----O-------------------- X;,26,20,f4,1
---------O--O-----OXXX----XOO------OOOO----O-------------------- X;,34,20,b3,1
------------O-O---XXXO----XXO------OOOO----O-------------------- X;,37,20,g3,1
---------O--------OXX----OXXX-----OOOOO----O-------------------- X;,34,20,c2,1
---------O--------OXX-----XXX----OOOOOO----O-------------------- X;,33,20,b3,1
---------O-------OOXX-----OXX-----XOOOO----O-------------------- X;,33,20,c2,1
---------O--------OXX-----OXX-----OOOOO---OO-------------------- X;,34,20,b4,1
---------O--------OXX-----OXOO----OOO-----O-O-------O----------- X;,37,20,d6,1
---------O--------OXX-----XXOO---OOOO-------O-------O----------- X;,39,20,b3,1
---------O-------OOXX-----OXOO----XOO-------O-------O----------- X;,38,20,b4,1
-----------------OO-OX---XOXXX----OOO----O--O------------------- X;,8,20,d3,1
----------------O-O-OX---OXXXX----OXO----O--O------------------- X;,11,20,d3,1
------------------O-OX---OXXXX--O-OXO----O--O------------------- X;,13,20,d3,1
------------------O-OX---XXXXO----OXO-O--O--O------------------- X;,14,20,d3,1
-----------X-O----OXO------XX-----OXOO----OO------O------------- X;,19,20,e2,1
-----------------O--OX----OXXX----OXO----OOOO------------------- X;,12,20,d2,1
-----------------O--OX----OXXO----OXO-O--OX-O------------------- X;,17,20,f5,1
-------------------O-XO----OXO---OOOOO----XO--O----------------- X;,17,20,c4,1
----------O--O-----OOX-----XX-----OXOO----OO------O------------- X;,18,20,e6,1
-----------------O--OX----OXXX----OXO----OO-O-----O------------- X;,19,20,f5,1
------------XO-----XXO-----XO-----OOOO----OO------O------------- X;,19,20,f4,1
--------------------OOO---XXXO--OOOOO----O--O------------------- X;,20,20,d6,1
-----------------O--OOO---OXXO---XXOO----O--O------------------- X;,19,20,d6,1
------------XO----OXX------OX-----OXOO----OO------O------------- X;,22,20,c4,1
----------OOO------XO------XO-----OOOO------OO-------O---------- X;,24,20,f2,1
------------------X-OX---OOOX-----XXOX----X-OO------------------ X;,-5,20,d3,1
----------------X-X-OX---XOOO-----XOOX------OO------------------ X;,-9,20,d3,1
