game,ply,side_to_move,n_empties,disc_diff_black_white,a1_minus_energy,edax_score_shallow,edax_score_deep,depth_gap
1,16,1,44,-2,4.125000000000001,0,-1,1
1,17,-1,43,3,8.5,1,-2,3
1,18,1,42,-2,5.125000000000001,-1,-1,0
1,19,-1,41,3,3.5,1,-2,3
1,20,1,40,-4,1.1249999999999998,0,1,1
1,21,-1,39,3,2.75,4,-3,7
1,22,1,38,0,1.875,-3,1,4
1,23,-1,37,7,5.749999999999999,3,-3,6
1,24,1,36,4,4.499999999999999,0,2,2
1,25,-1,35,7,5.375,2,-4,6
1,26,1,34,4,6.25,2,1,1
1,27,-1,33,7,6.875,5,-4,9
1,28,1,32,4,8.000000000000002,0,3,3
1,29,-1,31,9,13.375,1,-4,5
1,30,1,30,4,11.999999999999998,10,4,6
1,31,-1,29,7,11.875,-4,0,4
1,32,1,28,-4,9.499999999999998,2,0,2
1,33,-1,27,3,10.625000000000002,0,0,0
1,34,1,26,-6,5.000000000000001,8,0,8
1,35,-1,25,-1,8.875,3,4,1
1,36,1,24,-4,8.25,4,-4,8
1,37,-1,23,1,6.374999999999999,9,4,5
1,38,1,22,-4,7.5,0,-4,4
1,39,-1,21,-1,8.125,6,4,2
1,40,1,20,-4,10.000000000000002,4,2,2
1,41,-1,19,1,8.375,6,4,2
1,42,1,18,-8,11.0,4,2,2
1,43,-1,17,1,10.375000000000002,-5,-2,3
1,44,1,16,-4,10.5,7,2,5
1,45,-1,15,1,6.374999999999999,-6,-2,4
1,46,1,14,-6,5.625,5,2,3
1,47,-1,13,-3,4.499999999999999,-6,6,12
1,48,1,12,-6,6.25,1,-6,7
1,49,-1,11,1,3.5,2,6,4
1,50,1,10,-2,4.625,-6,-6,0
1,51,-1,9,17,6.499999999999999,13,6,7
1,52,1,8,12,6.374999999999999,-11,-6,5
1,53,-1,7,21,10.625000000000002,7,6,1
1,54,1,6,4,8.5,-6,-6,0
1,55,-1,5,9,8.75,12,6,6
1,56,1,4,0,4.499999999999999,-17,-6,11
1,57,-1,3,15,11.125,15,6,9
1,58,1,2,12,12.375,-6,-6,0
1,59,-1,2,12,12.375,6,6,0
1,60,1,1,-9,16.125,-6,-6,0
1,61,-1,0,-6,13.5,6,6,0
2,0,1,60,0,0.0,-4,-1,3
2,1,-1,59,3,1.1249999999999998,4,-1,5
2,2,1,58,0,0.0,-2,0,2
2,3,-1,57,3,1.2500000000000002,5,0,5
2,4,1,56,0,0.37499999999999994,-1,2,3
2,5,-1,55,3,2.125,4,-3,7
2,6,1,54,-2,2.25,2,3,1
2,7,-1,53,3,2.5000000000000004,1,-2,3
2,8,1,52,0,0.875,4,2,2
2,9,-1,51,3,2.9999999999999996,0,-2,2
2,10,1,50,0,3.875,6,1,5
2,11,-1,49,5,4.0,5,7,2
2,12,1,48,2,4.375,0,-9,9
2,13,-1,47,5,3.5,10,8,2
2,14,1,46,0,3.6250000000000004,-6,-10,4
2,15,-1,45,5,3.5,7,7,0
2,16,1,44,-2,0.875,-7,-10,3
2,17,-1,43,1,1.0,9,8,1
2,18,1,42,-2,1.6249999999999998,-3,-5,2
2,19,-1,41,5,3.5,5,4,1
2,20,1,40,0,1.875,-2,-5,3
2,21,-1,39,3,1.4999999999999998,0,4,4
2,22,1,38,0,1.875,-2,-4,2
2,23,-1,37,3,2.5000000000000004,-1,4,5
2,24,1,36,0,3.1250000000000004,-1,2,3
2,25,-1,35,9,8.000000000000002,1,-4,5
2,26,1,34,4,6.374999999999999,3,13,10
2,27,-1,33,7,6.499999999999999,-2,-14,12
2,28,1,32,2,7.125,8,14,6
2,29,-1,31,7,8.000000000000002,-5,-14,9
2,30,1,30,4,10.125,10,22,12
2,31,-1,29,9,9.0,-5,-16,11
2,32,1,28,6,8.625,7,16,9
2,33,-1,27,9,10.000000000000002,-5,-20,15
2,34,1,26,2,8.625,10,28,18
2,35,-1,25,11,9.249999999999998,-12,-28,16
2,36,1,24,6,5.375,11,32,21
2,37,-1,23,9,6.75,-11,-32,21
2,38,1,22,2,9.125,16,36,20
2,39,-1,21,5,7.5,-11,-36,25
2,40,1,20,-2,6.75,13,36,23
2,41,-1,19,3,6.875,-7,-12,5
2,42,1,18,0,9.0,7,16,9
2,43,-1,17,3,10.25,-6,-16,10
2,44,1,16,0,10.125,10,20,10
2,45,-1,15,3,10.5,-11,-16,5
2,46,1,14,-4,5.25,13,16,3
2,47,-1,13,5,5.125000000000001,-7,-14,7
2,48,1,12,-2,3.2499999999999996,9,24,15
